question_id,question_pair_id,language,question_family,product_model,retrieved_count,retrieval_empty,elapsed_ms,answer_generation_provider,intent_provider,use_reranker,kg_mode,chunk_precision@5,chunk_success@5,gold_block_recall@5,chunk_ndcg@5,chunk_precision@10,chunk_success@10,gold_block_recall@10,chunk_ndcg@10,chunk_precision@15,chunk_success@15,gold_block_recall@15,chunk_ndcg@15,chunk_precision@20,chunk_success@20,gold_block_recall@20,chunk_ndcg@20,chunk_precision@25,chunk_success@25,gold_block_recall@25,chunk_ndcg@25,chunk_precision@30,chunk_success@30,gold_block_recall@30,chunk_ndcg@30,chunk_precision@35,chunk_success@35,gold_block_recall@35,chunk_ndcg@35,chunk_precision@40,chunk_success@40,gold_block_recall@40,chunk_ndcg@40,chunk_precision@45,chunk_success@45,gold_block_recall@45,chunk_ndcg@45,chunk_precision@50,chunk_success@50,gold_block_recall@50,chunk_ndcg@50,chunk_precision@55,chunk_success@55,gold_block_recall@55,chunk_ndcg@55,chunk_precision@60,chunk_success@60,gold_block_recall@60,chunk_ndcg@60,gold_evidence_block_ids,condition_id,hit_chunk_count@5,hit_chunk_count@10,hit_chunk_count@15,hit_chunk_count@20,hit_chunk_count@25,hit_chunk_count@30,hit_chunk_count@35,hit_chunk_count@40,hit_chunk_count@45,hit_chunk_count@50,hit_chunk_count@55,hit_chunk_count@60,first_hit_rank,first_hit_reciprocal_rank,first_hit_cutoff
Q-001,Q-001,en,facts_specifications,CM2000,29,False,24135.849,deterministic,passthrough,False,none,0.2,True,1.0,1.0,0.1,True,1.0,1.0,0.06666666666666667,True,1.0,1.0,0.05,True,1.0,1.0,0.04,True,1.0,1.0,0.03333333333333333,True,1.0,1.0,0.02857142857142857,True,1.0,1.0,0.025,True,1.0,1.0,0.022222222222222223,True,1.0,1.0,0.02,True,1.0,1.0,0.01818181818181818,True,1.0,1.0,0.016666666666666666,True,1.0,1.0,['724d26e2-ed75-5043-b025-de4c01da0714'],baseline-generic-hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,5
Q-002,Q-002,en,facts_specifications,CM2000,26,False,24046.268,deterministic,passthrough,False,none,0.2,True,1.0,0.5,0.1,True,1.0,0.5,0.06666666666666667,True,1.0,0.5,0.05,True,1.0,0.5,0.04,True,1.0,0.5,0.03333333333333333,True,1.0,0.5,0.02857142857142857,True,1.0,0.5,0.025,True,1.0,0.5,0.022222222222222223,True,1.0,0.5,0.02,True,1.0,0.5,0.01818181818181818,True,1.0,0.5,0.016666666666666666,True,1.0,0.5,['b9899548-cfa5-5bb4-8284-7d82e663abd1'],baseline-generic-hybrid,1,1,1,1,1,1,1,1,1,1,1,1,3,0.3333333333333333,5
Q-003,Q-003,en,setup_configuration,CM2000,23,False,24125.776,deterministic,passthrough,False,none,0.4,True,1.0,0.5307212739772434,0.3,True,1.0,0.6978817289434457,0.2,True,1.0,0.6978817289434457,0.15,True,1.0,0.6978817289434457,0.12,True,1.0,0.6978817289434457,0.1,True,1.0,0.6978817289434457,0.08571428571428572,True,1.0,0.6978817289434457,0.075,True,1.0,0.6978817289434457,0.06666666666666667,True,1.0,0.6978817289434457,0.06,True,1.0,0.6978817289434457,0.05454545454545454,True,1.0,0.6978817289434457,0.05,True,1.0,0.6978817289434457,['8fd1b794-0507-59d3-88fa-2209736ef6da'],baseline-generic-hybrid,2,3,3,3,3,3,3,3,3,3,3,3,2,0.5,5
Q-004,Q-004,en,setup_configuration,CM2000,23,False,21142.67,deterministic,passthrough,False,none,0.2,True,1.0,0.46927872602275644,0.1,True,1.0,0.46927872602275644,0.13333333333333333,True,1.0,0.6001807161909536,0.15,True,1.0,0.7070215204527439,0.12,True,1.0,0.7070215204527439,0.1,True,1.0,0.7070215204527439,0.08571428571428572,True,1.0,0.7070215204527439,0.075,True,1.0,0.7070215204527439,0.06666666666666667,True,1.0,0.7070215204527439,0.06,True,1.0,0.7070215204527439,0.05454545454545454,True,1.0,0.7070215204527439,0.05,True,1.0,0.7070215204527439,['0de5a970-8b6a-5e57-ba98-6f57671a841c'],baseline-generic-hybrid,1,1,2,3,3,3,3,3,3,3,3,3,1,1.0,5
Q-005,Q-005,en,facts_specifications,CM2000,28,False,13089.133,deterministic,passthrough,False,none,0.0,False,0.0,0.0,0.1,True,1.0,0.15642624200758548,0.2,True,1.0,0.3970017627059981,0.15,True,1.0,0.3970017627059981,0.12,True,1.0,0.3970017627059981,0.1,True,1.0,0.3970017627059981,0.08571428571428572,True,1.0,0.3970017627059981,0.075,True,1.0,0.3970017627059981,0.06666666666666667,True,1.0,0.3970017627059981,0.06,True,1.0,0.3970017627059981,0.05454545454545454,True,1.0,0.3970017627059981,0.05,True,1.0,0.3970017627059981,['eb2ebf98-481f-54be-b4a3-56ea1bdf5749'],baseline-generic-hybrid,0,1,3,3,3,3,3,3,3,3,3,3,7,0.14285714285714285,10
Q-006,Q-006,en,troubleshooting_diagnostics,CM2000,45,False,10454.97,deterministic,passthrough,False,none,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.022222222222222223,True,1.0,0.1854490234153689,0.02,True,1.0,0.1854490234153689,0.01818181818181818,True,1.0,0.1854490234153689,0.016666666666666666,True,1.0,0.1854490234153689,['62f9a09d-d5a8-5805-8b92-4d0be62383ce'],baseline-generic-hybrid,0,0,0,0,0,0,0,0,1,1,1,1,41,0.024390243902439025,45
Q-007,Q-007,en,troubleshooting_diagnostics,CM2000,23,False,10440.749,deterministic,passthrough,False,none,0.2,True,1.0,0.6131471927654584,0.1,True,1.0,0.6131471927654584,0.13333333333333333,True,1.0,0.778842958530688,0.1,True,1.0,0.778842958530688,0.08,True,1.0,0.778842958530688,0.06666666666666667,True,1.0,0.778842958530688,0.05714285714285714,True,1.0,0.778842958530688,0.05,True,1.0,0.778842958530688,0.044444444444444446,True,1.0,0.778842958530688,0.04,True,1.0,0.778842958530688,0.03636363636363636,True,1.0,0.778842958530688,0.03333333333333333,True,1.0,0.778842958530688,['c5c4c17f-c329-5b9c-837f-7d33e641682f'],baseline-generic-hybrid,1,1,2,2,2,2,2,2,2,2,2,2,1,1.0,5
Q-008,Q-008,en,troubleshooting_diagnostics,CM2000,35,False,10371.972,deterministic,passthrough,False,none,0.0,False,0.0,0.0,0.1,True,1.0,0.17723928678404774,0.06666666666666667,True,1.0,0.17723928678404774,0.05,True,1.0,0.17723928678404774,0.08,True,1.0,0.3127845050703717,0.06666666666666667,True,1.0,0.3127845050703717,0.05714285714285714,True,1.0,0.3127845050703717,0.05,True,1.0,0.3127845050703717,0.044444444444444446,True,1.0,0.3127845050703717,0.04,True,1.0,0.3127845050703717,0.03636363636363636,True,1.0,0.3127845050703717,0.03333333333333333,True,1.0,0.3127845050703717,['85bd9c8e-a264-5649-acbc-73648b7ce861'],baseline-generic-hybrid,0,1,1,1,2,2,2,2,2,2,2,2,10,0.1,10
Q-009,Q-009,en,facts_specifications,CM2000,26,False,12498.226,deterministic,passthrough,False,none,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.0,False,0.0,0.0,0.05,True,1.0,0.24465054211822604,0.04,True,1.0,0.24465054211822604,0.03333333333333333,True,1.0,0.24465054211822604,0.02857142857142857,True,1.0,0.24465054211822604,0.025,True,1.0,0.24465054211822604,0.022222222222222223,True,1.0,0.24465054211822604,0.02,True,1.0,0.24465054211822604,0.01818181818181818,True,1.0,0.24465054211822604,0.016666666666666666,True,1.0,0.24465054211822604,['88695618-cf2a-5bf0-9a58-da1167d8f0c6'],baseline-generic-hybrid,0,0,0,1,1,1,1,1,1,1,1,1,16,0.0625,20
Q-010,Q-010,en,setup_configuration,LM1200,42,False,12010.177,deterministic,passthrough,False,none,0.2,True,1.0,1.0,0.1,True,1.0,1.0,0.06666666666666667,True,1.0,1.0,0.05,True,1.0,1.0,0.04,True,1.0,1.0,0.03333333333333333,True,1.0,1.0,0.02857142857142857,True,1.0,1.0,0.025,True,1.0,1.0,0.022222222222222223,True,1.0,1.0,0.02,True,1.0,1.0,0.01818181818181818,True,1.0,1.0,0.016666666666666666,True,1.0,1.0,['37f50132-32d9-5fb0-a62d-366e401ac417'],baseline-generic-hybrid,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,5
